COUNTS - 2017 - annual entries & exits,,,,,,,,,,,,,,,,
"(C) Copyright, London Underground Limited, 2018",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,[ Weights,253,52,59,253,52,59,],,,,,,
Counts by station,,,,,,,,,,Annual,,,,,,
 ,,,,Entry,Entry,Entry,Exit,Exit,Exit,Entry + Exit,,,,,,
nlc,Station,Borough,Note,Weekday,Saturday,Sunday,Weekday,Saturday,Sunday,million,,,,,,
707,South Harrow,Harrow, ,3444,2331,1570,3619,2350,1612,2.22,,,,,,
708,South Kensington,Kensington and Chelsea, ,50391,42818,34161,49744,44056,33783,33.86,,,,,,
709,South Kenton,Brent,A,1858,1184,696,2099,1086,768,1.21,,,,,,
710,South Ruislip,Hillingdon,,3364,2125,1323,3190,1971,1279,2.02,,,,,,
711,South Wimbledon,Merton,,8219,5503,3598,7180,5108,3605,4.87,,,,,,
712,South Woodford,Redbridge,,7696,4656,2739,9363,6226,3977,5.28,,,,,,
705,Southfields,Wandsworth,,10030,7115,4368,9142,5880,4229,6.03,,,,,,
706,Southgate,Enfield, ,8777,6134,4189,8831,5989,4336,5.59,,,,,,
784,Southwark,Southwark, ,28187,12164,8458,28800,12921,8234,16.71,,,,,,
695,St. James's Park,City of Westminster, ,25788,7589,6085,24744,7514,6119,14.29,,,,,,
696,St. John's Wood,City of Westminster, ,12340,7879,6027,12397,7987,6030,7.79,,,,,,
697,St. Paul's,City of London, ,28879,13501,9087,29552,13116,8497,17.20,,,,,,
713,Stamford Brook,Hammersmith and Fulham, ,4454,2924,1972,4172,2489,1886,2.69,,,,,,
714,Stanmore,Harrow, ,6152,4451,3028,6137,4163,3073,3.92,,,,,,
715,Stepney Green,Tower Hamlets, ,10703,6769,4857,9583,5732,4613,6.34,,,,,,
716,Stockwell,Lambeth, ,20187,15597,9779,15592,13621,9301,11.70,,,,,,
717,Stonebridge Park,Brent, ,4262,2637,1757,3955,2314,1624,2.54,,,,,,
719,Stratford,Newham, ,93742,93482,61629,86285,87548,57524,61.99,,,,,,
720,Sudbury Hill,Ealing, ,2988,1992,1283,3055,1909,1294,1.88,,,,,,
721,Sudbury Town,Brent, ,3027,1916,1394,2801,1545,1215,1.81,,,,,,
723,Swiss Cottage,Camden, ,12645,8442,5867,11957,8026,5636,7.76,,,,,,
724,Temple,City of Westminster, ,15731,5051,3396,15893,5475,3355,8.95,,,,,,
725,Theydon Bois,Epping Forest, ,1526,1210,697,1454,1073,676,0.95,,,,,,
726,Tooting Bec,Wandsworth, ,13230,9607,6351,12044,8184,6401,8.07,,,,,,
727,Tooting Broadway,Wandsworth, ,25494,19445,13028,24753,18145,13072,16.21,,,,,,
728,Tottenham Court Road,City of Westminster, ,63871,54505,33720,62144,52619,32075,41.33,,,,,,
729,Tottenham Hale,Haringey, ,21847,9891,7206,20344,8587,6945,12.47,,,,,,
730,Totteridge & Whetstone,Barnet, ,4396,2544,1597,3928,2179,1561,2.54,,,,,,
731,Tower Hill,Tower Hamlets, ,30036,24595,19675,33220,27252,19866,21.03,,,,,,
733,Tufnell Park,Islington, ,6597,5234,3682,6004,4349,3536,4.11,,,,,,
734,Turnham Green,Hounslow, ,9699,6579,4508,9809,6553,4591,6.16,,,,,,
735,Turnpike Lane,Haringey, ,16200,13744,9948,16215,12547,9888,10.74,,,,,,
736,Upminster,Havering,A,8860,5745,2538,9533,5105,2571,5.52,,,,,,
737,Upminster Bridge,Havering, ,2073,751,377,1999,615,371,1.15,,,,,,
738,Upney,Barking and Dagenham, ,4622,2785,1813,4182,2372,1619,2.70,,,,,,
739,Upton Park,Newham, ,15357,11407,8101,14397,10574,7544,9.59,,,,,,
740,Uxbridge,Hillingdon, ,13974,8494,5256,13371,7825,5194,8.38,,,,,,
777,Vauxhall,Lambeth, ,50772,32387,24662,46714,30150,24796,30.83,,,,,,
741,Victoria,City of Westminster, ,121018,88605,69760,122783,91001,71565,79.36,,,,,,
742,Walthamstow Central,Waltham Forest,D,11961,9038,6526,17390,13811,10094,9.59,,,,,,
743,Wanstead,Redbridge, ,4802,3400,2220,4504,3156,2154,2.95,,,,,,
745,Warren Street,Camden, ,35810,13816,9209,33944,13362,8585,20.11,,,,,,
746,Warwick Avenue,City of Westminster, ,6917,4925,3490,6357,4537,3598,4.27,,,,,,
747,Waterloo,Lambeth,T,147574,91841,55080,149577,90703,56770,91.27,,,,,,
748,Watford,Watford, ,3307,1654,1067,2873,1671,1001,1.86,,,,,,
751,Wembley Central,Brent, ,8953,7503,5106,9173,7264,4613,5.93,,,,,,
752,Wembley Park,Brent, ,24980,22413,14412,25094,21274,13438,16.58,,,,,,
753,West Acton,Ealing, ,2754,2089,1386,2576,1903,1350,1.72,,,,,,
755,West Brompton,Kensington and Chelsea, ,10006,4731,3077,10024,4141,2825,5.88,,,,,,
756,West Finchley,Barnet, ,2897,1590,991,2694,1367,992,1.69,,,,,,
757,West Ham,Newham, ,6946,5447,3826,6466,5392,3805,4.41,,,,,,
758,West Hampstead,Camden, ,20776,13386,9249,16880,10461,8232,11.80,,,,,,
759,West Harrow,Harrow, ,2270,1686,941,2611,1742,998,1.53,,,,,,
760,West Kensington,Hammersmith and Fulham, ,8424,5987,4309,8020,5069,4121,5.23,,,,,,
762,West Ruislip,Hillingdon, ,2787,2113,1158,2672,1839,1078,1.72,,,,,,
754,Westbourne Park,City of Westminster, ,6923,4582,2906,6272,4048,2973,4.13,,,,,,
761,Westminster,City of Westminster, ,38241,31057,24309,39001,31405,23236,25.60,,,,,,
764,White City,Hammersmith and Fulham, ,14693,7316,4358,15280,6845,4401,8.84,,,,,,
763,Whitechapel,Tower Hamlets, ,22590,12479,8781,22633,12820,8960,13.80,,,,,,
765,Willesden Green,Brent, ,13820,10754,8161,13073,9494,7811,8.80,,,,,,
766,Willesden Junction,Brent,A,7566,5164,2908,7514,4743,3028,4.68,,,,,,
767,Wimbledon,Merton,A,18188,15969,10013,20149,16795,10509,12.61,,,,,,
768,Wimbledon Park,Merton, ,3583,2648,1605,3301,2235,1600,2.18,,,,,,
770,Wood Green,Haringey, ,20042,15815,11793,18949,16020,11415,12.89,,,,,,
599,Wood Lane,Hammersmith and Fulham, ,6242,4516,2267,6631,4294,2494,4.00,,,,,,
769,Woodford,Redbridge, ,9442,6937,4140,9537,6301,4142,5.98,,,,,,
771,Woodside Park,Barnet, ,5311,2997,2246,6089,3760,2967,3.54,,,,,,
,,,,,,,,,,,,,,,,
,Total,,,4693300,3256834,2260533,4594502,3159447,2189423,2946.01,,,,,,
,,,,,,,,,,,,,,,,
